protein1	protein2	neighborhood	coexpression	experimental	combined
RALBP1	REPS1	0.0	0.0	0.943	0.938021988058903
SLC7A9	CDC5L	0.0	0.0	0.98	0.9782533291434747
RTF2	ABL1	0.0	0.0	0.845	0.8314633008619292
RTF2	TRMT1	0.0	0.0	0.976	0.9739039949721697
RB1CC1	ATG101	0.0	0.061	0.818	0.8141768721980772
RB1CC1	ATG13	0.0	0.0	0.837	0.8227646325193192
RB1CC1	ULK1	0.0	0.061	0.836	0.8325549837389268
GABARAPL2	WDFY3	0.0	0.061	0.849	0.845828064296207
GABARAPL2	ATG7	0.0	0.077	0.812	0.8113215343146156
OTC	NAGS	0.295	0.851	0.0	0.8857810479938152
OTC	ASS1	0.294	0.851	0.0	0.8856190352959341
HOXC8	HOXA5	0.0	0.116	0.797	0.8048758210727416
HOXC8	HOXA6	0.0	0.098	0.797	0.8009027043072544
HOXC8	HOXB6	0.0	0.173	0.797	0.8174573574967842
HOXC8	HOXC4	0.0	0.35	0.797	0.8565263390240747
HOXC8	HOXC5	0.0	0.441	0.731	0.8364965678316721
HOXC8	HOXB7	0.0	0.157	0.797	0.8139256981496845
HOXC8	HOXD4	0.0	0.2	0.797	0.823417032645015
HOXC8	HOXC6	0.0	0.574	0.73	0.8749348959041233
HOXC8	HOXB4	0.0	0.113	0.797	0.8042136349451603
MRI1	KCTD3	0.0	0.0	0.942	0.9369346545160767
MRI1	LRRC40	0.0	0.0	0.945	0.9401966551445555
MRI1	CDC23	0.173	0.096	0.798	0.8357943504323783
BOD1L1	CXXC1	0.0	0.087	0.871	0.8719371173265512
PSMA4	PSMB9	0.0	0.798	0.983	0.9962660966139346
PSMA4	PSMC5	0.0	0.902	0.992	0.9991475305024242
PSMA4	PSMC2	0.0	0.947	0.992	0.9995389705778417
PSMA4	KIAA2012	0.0	0.678	0.735	0.9072178287906351
PSMA4	PSMD11	0.0	0.886	0.992	0.9990083518089424
PSMA4	PSMD4	0.0	0.924	0.991	0.9992562638567069
PSMA4	PSMB4	0.0	0.919	0.994	0.9994715558981864
PSMA4	PSMB11	0.0	0.663	0.731	0.9014299523421707
PSMA4	PSMA6	0.0	0.996	0.992	0.9999652053266296
PSMA4	PSMB1	0.0	0.976	0.993	0.9998173279648052
PSMA4	PSMC4	0.059	0.871	0.992	0.9989440773485588
PSMA4	USP14	0.0	0.88	0.942	0.9924321585419292
PSMA4	PSMD6	0.0	0.902	0.957	0.9954179764505301
PSMA4	PSMA1	0.0	0.991	0.994	0.9999412839886874
PSMA4	UBC	0.0	0.077	0.956	0.9558412101587397
PSMA4	PSMB7	0.0	0.896	0.992	0.9990953384923685
PSMA4	POMP	0.0	0.862	0.911	0.9866453694270079
PSMA4	PSMC6	0.059	0.943	0.992	0.9995334295261074
PSMA4	UBA52	0.0	0.063	0.96	0.9592467388148717
PSMA4	PSMA8	0.0	0.814	0.962	0.992314726519304
PSMA4	PSMA2	0.0	0.995	0.994	0.9999673799937152
PSMA4	PSMD5	0.0	0.093	0.821	0.8234681373215277
PSMA4	PSMA3	0.0	0.996	0.994	0.9999739039949721
PSMA4	PSME3	0.0	0.198	0.82	0.8430325297576006
PSMA4	PSMB2	0.0	0.974	0.994	0.999830375967319
PSMA4	PSMD1	0.0	0.848	0.992	0.9986778024119233
PSMA4	PSMB3	0.0	0.957	0.993	0.9996727126036092
PSMA4	UCHL5	0.0	0.353	0.838	0.8860322220422081
PSMA4	PSMB6	0.0	0.909	0.988	0.9988126317712337
PSMA4	PSMC3	0.059	0.875	0.992	0.9989768191362005
PSMA4	UBB	0.0	0.077	0.956	0.9558412101587397
PSMA4	PSMD8	0.0	0.892	0.994	0.9992954078642485
PSMA4	PSMD3	0.0	0.859	0.991	0.9986201737341535
PSMA4	PSMD12	0.0	0.899	0.992	0.9991214344973964
PSMA4	PSMB10	0.0	0.796	0.944	0.9875783016067528
PSMA4	PSMD13	0.0	0.828	0.963	0.9930802093334536
PSMA4	PSMA5	0.0	0.985	0.992	0.999869519974861
PSMA4	PSMD7	0.0	0.915	0.992	0.9992606131908781
PSMA4	PSMG2	0.0	0.488	0.946	0.9699374022079394
PSMA4	PSMD14	0.0	0.956	0.992	0.9996172585929252
PSMA4	PSMB8	0.0	0.663	0.992	0.9970685487685403
PSMA4	PSMA7	0.0	0.981	0.992	0.9998347253014904
PSMA4	UBA2	0.0	0.173	0.783	0.8048682097379418
PSMA4	ELP6	0.0	0.073	0.869	0.867957476559807
PSMA4	PSMC1	0.0	0.886	0.992	0.9990083518089424
PSMA4	ADRM1	0.0	0.688	0.961	0.98676932545089
PSMA4	PSMD2	0.0	0.785	0.992	0.9981297863063388
PSMA4	ASNA1	0.0	0.098	0.874	0.8764223681907096
PSMA4	PSMB5	0.0	0.702	0.994	0.9980558476254267
LCP2	GRAP2	0.0	0.593	0.718	0.8752023799556584
LCP2	FYB1	0.0	0.697	0.472	0.8260440304844833
LCP2	PTPRC	0.0	0.915	0.379	0.9426050989419157
DCN	MMP2	0.0	0.765	0.379	0.8413199794276494
DCN	COL1A1	0.0	0.868	0.405	0.9146008235464252
DCN	COL1A2	0.0	0.91	0.405	0.9417732887816537
DCN	LUM	0.0	0.914	0.0	0.9064893153169414
DCN	COL6A1	0.0	0.832	0.405	0.8913101390590867
DCN	COL3A1	0.0	0.826	0.082	0.8263180385372755
TNFRSF17	TNFSF13B	0.0	0.061	0.909	0.9070884360990388
MRPS10	RPL28	0.0	0.612	0.713	0.8789188860050385
MRPS10	MRPL19	0.0	0.588	0.943	0.974465059080268
MRPS10	RPS18	0.219	0.642	0.944	0.9829750881012003
MRPS10	RPS4X	0.0	0.652	0.706	0.8887527305663594
MRPS10	RPL13	0.0	0.649	0.713	0.8904652808963108
MRPS10	MRPS22	0.0	0.275	0.852	0.883329110854742
MRPS10	DAP3	0.0	0.736	0.993	0.9979906076128571
MRPS10	RPS28	0.0	0.564	0.713	0.863939779119064
MRPS10	MRPS18B	0.0	0.323	0.901	0.9271236439591555
MRPS10	RPS3	0.219	0.654	0.713	0.9156719971381381
MRPS10	MRPS23	0.0	0.153	0.847	0.8590913588516018
MRPS10	MRPS14	0.167	0.668	0.988	0.9963914966167616
MRPS10	RPL18A	0.0	0.648	0.713	0.8901532161695197
MRPS10	RPL34	0.0	0.593	0.713	0.8729896561960071
MRPS10	MRPL38	0.0	0.264	0.871	0.8967642041099033
MRPS10	MRPL22	0.111	0.446	0.635	0.8045358227472352
MRPS10	MRPL18	0.0	0.248	0.829	0.8601776050608851
MRPS10	MRPS28	0.0	0.194	0.824	0.8457552129488377
MRPS10	RPS3A	0.0	0.649	0.713	0.8904652808963108
MRPS10	RPL11	0.219	0.659	0.93	0.9797294170478676
MRPS10	MRPL11	0.167	0.488	0.923	0.9642917576855453
MRPS10	CHCHD1	0.0	0.187	0.852	0.8691676787929727
MRPS10	SEC61G	0.0	0.48	0.715	0.8388571689531479
MRPS10	MRPL58	0.0	0.26	0.935	0.9476992565900568
MRPS10	MRPS21	0.0	0.285	0.748	0.804084242253564
MRPS10	MRPL43	0.0	0.297	0.943	0.9564294576054088
MRPS10	MRPL50	0.0	0.223	0.829	0.8555292541653029
MRPS10	MRPL48	0.0	0.197	0.829	0.8506949692338974
MRPS10	MRPS25	0.0	0.34	0.824	0.8736953356653013
MRPS10	MRPL9	0.046	0.52	0.94	0.9701252934441399
MRPS10	MRPL47	0.0	0.399	0.943	0.9627512148234006
MRPS10	RPL21	0.0	0.641	0.713	0.8879687630819816
MRPS10	MRPS9	0.219	0.647	0.954	0.9862105686645696
MRPS10	MRPS6	0.0	0.643	0.94	0.9767093155126615
MRPS10	MRPL12	0.167	0.5	0.704	0.865949171506207
MRPS10	MRPL45	0.0	0.172	0.8	0.8199375653079709
MRPS10	RPL31	0.0	0.652	0.713	0.8914014750766842
MRPS10	MRPL23	0.0	0.568	0.942	0.9727557707509451
MRPS10	PDCD11	0.111	0.46	0.715	0.851234177937785
MRPS10	MRPS11	0.167	0.641	0.956	0.9856927913048111
MRPS10	MRPL15	0.167	0.536	0.943	0.9760447546486227
MRPS10	MRPL27	0.0	0.735	0.943	0.9835758268356093
MRPS10	MRPL33	0.195	0.322	0.94	0.9643926535396512
MRPS10	MRPL40	0.0	0.339	0.943	0.9590325341069349
MRPS10	MRPL24	0.135	0.464	0.979	0.9894132422002846
MRPS10	RPL27A	0.167	0.513	0.558	0.8050339389418723
MRPS10	FAU	0.0	0.823	0.793	0.9601611863243885
MRPS10	RPL23A	0.219	0.64	0.871	0.9605628038417668
MRPS10	MRPS18C	0.0	0.533	0.944	0.9715640531880076
MRPS10	RPL30	0.203	0.653	0.713	0.9136956912233698
MRPS10	RPS24	0.0	0.642	0.715	0.8890593586254364
MRPS10	MRPL4	0.135	0.689	0.943	0.9833269851176658
MRPS10	MRPL17	0.219	0.733	0.943	0.9870759111039589
MRPS10	RPL35	0.219	0.64	0.713	0.9122598814154038
MRPS10	MRPL35	0.0	0.161	0.829	0.844001343944259
MRPS10	RPL23	0.219	0.643	0.713	0.9129910490702755
MRPS10	RPS6	0.0	0.639	0.731	0.8944101269896845
MRPS10	MRPS30	0.0	0.069	0.829	0.8268954126485162
MRPS10	RPL36	0.0	0.62	0.713	0.8814154038193678
MRPS10	RPL38	0.0	0.638	0.713	0.8870325689016082
MRPS10	RPS9	0.167	0.512	0.558	0.8046335979540732
MRPS10	PTCD3	0.0	0.102	0.852	0.8554890228242185
MRPS10	MRPL1	0.167	0.727	0.558	0.8907069103308647
MRPS10	RPL37A	0.0	0.681	0.713	0.9004513521536271
MRPS10	RPS10-NUDT3	0.0	0.479	0.752	0.8595078075985042
MRPS10	MRPS12	0.167	0.525	0.95	0.9784884650221108
MRPS10	MRPS24	0.0	0.541	0.852	0.9261352577687263
MRPS10	MRPS31	0.0	0.096	0.972	0.9724774133639816
MRPS10	RPL35A	0.0	0.663	0.713	0.8948341870713866
MRPS10	MRPL3	0.135	0.469	0.943	0.971532569445275
MRPS10	RPS23	0.167	0.502	0.558	0.8006301880760829
MRPS10	EIF1AX	0.219	0.197	0.715	0.8056546182861231
MRPS10	GADD45GIP1	0.0	0.067	0.829	0.8265235445768696
MRPS10	MRPS34	0.0	0.326	0.862	0.8988649325146436
MRPS10	MRPL51	0.0	0.161	0.8	0.8175454315137531
MRPS10	MRPL54	0.0	0.227	0.8	0.8318982342790598
MRPS10	RPL32	0.0	0.65	0.713	0.890777345623102
MRPS10	MRPS26	0.0	0.335	0.852	0.8929846327150393
MRPS10	RPS7	0.0	0.642	0.713	0.8882808278087727
MRPS10	MRPL16	0.093	0.667	0.943	0.9812807190754186
MRPS10	RPS25	0.0	0.643	0.713	0.8885928925355638
MRPS10	MRPL42	0.0	0.253	0.8	0.8375523687017564
MRPS10	RPL5	0.219	0.643	0.714	0.9132942161466857
MRPS10	RPL15	0.0	0.649	0.713	0.8904652808963108
MRPS10	MRPL34	0.0	0.163	0.92	0.9271921459723534
MRPS10	MRPS18A	0.0	0.544	0.944	0.9722338506503885
MRPS10	MRPS35	0.0	0.485	0.944	0.9686413006248906
MRPS10	MRPL36	0.219	0.643	0.943	0.9827194766446191
MRPS10	MRPS33	0.0	0.4	0.852	0.9034447813970279
MRPS10	AC092647.5	0.0	0.061	0.86	0.8570591324600594
MRPS10	RPS21	0.0	0.647	0.713	0.8898411514427285
MRPS10	RPLP0	0.167	0.502	0.559	0.8010812509989877
MRPS10	MRPL2	0.167	0.51	0.943	0.9747024348660025
MRPS10	RPL12	0.167	0.508	0.558	0.8030322340028772
MRPS10	RPL9	0.219	0.651	0.816	0.9454672913760315
MRPS10	MRPS17	0.0	0.3	0.86	0.8934413128030262
MRPS10	TUFM	0.219	0.469	0.936	0.9711405324237427
MRPS10	MRPL20	0.069	0.312	0.94	0.9582119452288348
MRPS10	MRPL46	0.0	0.692	0.943	0.9809107723221422
MRPS10	MRPL21	0.0	0.653	0.94	0.9773617156383572
MRPS10	UBA52	0.0	0.626	0.713	0.8832877921801147
MRPS10	RPL18	0.0	0.653	0.736	0.9003915488087717
MRPS10	AURKAIP1	0.0	0.125	0.934	0.9372064879017834
MRPS10	MRPL32	0.074	0.772	0.943	0.9869147062949001
MRPS10	MRPS16	0.044	0.734	0.955	0.9875572943227053
MRPS10	MRPL53	0.0	0.078	0.829	0.8285688189709257
MRPS10	RPL19	0.0	0.611	0.713	0.8786068212782474
MRPS10	MRPL44	0.0	0.214	0.943	0.9512852826142978
MRPS10	MRPS15	0.0	0.735	0.985	0.9956778491672656
MRPS10	RPS26	0.0	0.605	0.713	0.8767344329175006
MRPS10	MRPS2	0.11	0.54	0.956	0.9804132084929448
MRPS10	MRPS7	0.167	0.526	0.943	0.9755284778091533
MRPS10	MRPL14	0.0	0.273	0.963	0.9707518150315163
MRPS10	MRPL49	0.0	0.269	0.943	0.954694073271058
MRPS10	MRPS5	0.167	0.549	0.991	0.9963235654536736
MRPS10	RPS2	0.167	0.521	0.783	0.9058537482018222
MRPS10	MRPL57	0.0	0.173	0.8	0.8201550320165362
MRPS10	RPS19	0.0	0.64	0.713	0.8876566983551905
MRPS10	MRPL30	0.0	0.126	0.825	0.8336923346247231
MRPS10	MRPL13	0.167	0.769	0.943	0.9880740050082583
MRPS10	RPL29	0.0	0.593	0.713	0.8729896561960071
MRPS10	RPS15	0.219	0.644	0.715	0.9138394073597258
MRPS10	MRPL37	0.0	0.092	0.8	0.8025402286227508
MRPS10	RPS5	0.167	0.498	0.856	0.9345252277691939
MRPS10	RPS11	0.219	0.644	0.706	0.9111185465395066
MRPS10	MRPL41	0.0	0.295	0.92	0.9386743881845988
VAMP3	SNAP23	0.0	0.136	0.995	0.9953027190949905
VAMP3	STX3	0.0	0.062	0.994	0.9938804868209739
VAMP3	STX2	0.0	0.062	0.994	0.9938804868209739
VAMP3	STX4	0.0	0.089	0.994	0.9940566348549117
VAMP3	VAMP2	0.0	0.0	0.846	0.8325506344047555
RCN1	HSP90B1	0.0	0.177	0.814	0.8335531559312412
RCN1	P4HB	0.0	0.097	0.816	0.8193373571923308
RCN1	CALR	0.0	0.111	0.865	0.869503664857706
RCN1	ZWINT	0.0	0.065	0.89	0.8881677451203189
RCN1	NACA2	0.0	0.0	0.865	0.8532099717184545
RCN1	VCP	0.0	0.062	0.804	0.8000959028184773
RFC2	MCM5	0.058	0.833	0.186	0.860763029789677
RFC2	CDC5L	0.0	0.116	0.98	0.9807759429628317
RFC2	RFC5	0.0	0.887	0.986	0.9982798383352489
RFC2	RFC4	0.0	0.882	0.994	0.9992301678516791
RFC2	DSCC1	0.0	0.252	0.83	0.8617346666942125
RFC2	SSRP1	0.0	0.822	0.0	0.8064546293769251
RFC2	DUT	0.071	0.834	0.0	0.8323179450265907
RFC2	PURA	0.0	0.052	0.811	0.805180274464733
RFC2	PCNA	0.129	0.853	0.964	0.9949881187063775
RFC2	CHTF18	0.0	0.279	0.839	0.8737812350151847
RFC2	RAD17	0.0	0.099	0.935	0.93632031106438
RFC2	PRIM1	0.0	0.841	0.08	0.8409448493553743
RFC2	RFC1	0.0	0.2	0.968	0.9721642613036475
RFC2	RFC3	0.0	0.869	0.994	0.9991453558353386
YIPF1	YIPF6	0.0	0.145	0.871	0.8800725468939773
SLC2A3	SLC2A14	0.0	0.815	0.485	0.8964042967072279
GNA11	GNB4	0.0	0.106	0.823	0.8279425148502577
GNA11	GNB2	0.0	0.106	0.826	0.8308587434121179
GNA11	GNB1	0.0	0.106	0.869	0.8726580194654451
MRPS35	PTCD3	0.0	0.165	0.998	0.9981841529834801
MRPS35	MRPL19	0.0	0.375	0.943	0.9612637425368143
MRPS35	MRPS12	0.0	0.237	0.95	0.958518225341178
MRPS35	MRPS24	0.0	0.411	0.852	0.905214960404749
MRPS35	MRPS31	0.0	0.115	0.997	0.9971131294437963
MRPS35	MRPS10	0.0	0.485	0.944	0.9686413006248906
MRPS35	MRPL3	0.0	0.381	0.943	0.9616356106084609
MRPS35	MRPS22	0.0	0.303	0.986	0.9893897992891013
MRPS35	DAP3	0.0	0.213	0.998	0.9982885370035914
MRPS35	MRPS18B	0.0	0.201	0.983	0.9852307484877908
MRPS35	MRPS23	0.0	0.134	0.996	0.9962334766076498
MRPS35	MRPS14	0.0	0.478	0.943	0.9676474777667473
MRPS35	GADD45GIP1	0.0	0.078	0.829	0.8285688189709257
MRPS35	MRPS34	0.0	0.328	0.802	0.8553237481257088
MRPS35	MRPL38	0.0	0.218	0.871	0.8903119668667722
MRPS35	MRPL18	0.0	0.278	0.829	0.865755626135584
MRPS35	MRPL51	0.0	0.172	0.8	0.8199375653079709
MRPS35	MRPL54	0.0	0.156	0.8	0.8164580979709268
MRPS35	MRPS28	0.0	0.372	0.824	0.8798191981784987
MRPS35	MRPS26	0.0	0.37	0.972	0.9808194363045447
MRPS35	MRPL16	0.0	0.311	0.943	0.9572971497725842
MRPS35	MRPL11	0.0	0.154	0.829	0.8426998056934959
MRPS35	CHCHD1	0.0	0.157	0.852	0.8643399178628242
MRPS35	MRPL42	0.0	0.203	0.872	0.8890745812950359
MRPS35	MRPL58	0.0	0.415	0.816	0.882959417450181
MRPS35	MRPL43	0.0	0.496	0.943	0.968763081981687
MRPS35	MRPL50	0.0	0.216	0.842	0.8653098193830251
MRPS35	MRPL34	0.0	0.125	0.92	0.9238866520021617
MRPS35	MRPL48	0.0	0.241	0.829	0.8588760668101222
MRPS35	MRPS25	0.0	0.286	0.965	0.9728275347647717
MRPS35	MRPS18A	0.0	0.299	0.943	0.956553413629291
MRPS35	MRPL9	0.0	0.39	0.829	0.8865802381477925
MRPS35	MRPL36	0.0	0.202	0.98	0.9826461566564929
MRPS35	MRPS33	0.0	0.358	0.852	0.8966859160948198
MRPS35	AC092647.5	0.0	0.062	0.86	0.8572113591560552
MRPS35	MRPL47	0.0	0.574	0.943	0.9735973669130926
MRPS35	MRPS9	0.0	0.241	0.994	0.9950482830459692
MRPS35	MRPS6	0.0	0.136	0.92	0.9248435055198487
MRPS35	MRPL2	0.0	0.194	0.943	0.9500457223754758
MRPS35	MRPL45	0.0	0.305	0.8	0.8488606375471495
MRPS35	MRPL23	0.0	0.444	0.877	0.9256394336731976
MRPS35	MRPS11	0.0	0.406	0.937	0.9593098041603557
MRPS35	MRPL15	0.0	0.518	0.943	0.9701265982443913
MRPS35	MRPS17	0.0	0.251	0.86	0.885982204699238
MRPS35	MRPL20	0.0	0.149	0.829	0.8417701355143795
MRPS35	MRPL46	0.0	0.389	0.943	0.9621314347039898
MRPS35	MRPL21	0.0	0.289	0.829	0.8678009005296401
MRPS35	AURKAIP1	0.0	0.084	0.85	0.8506003712156714
MRPS35	MRPL32	0.0	0.381	0.943	0.9616356106084609
MRPS35	MRPL27	0.0	0.342	0.943	0.9592184681427581
MRPS35	MRPS16	0.0	0.328	0.954	0.9663883455241545
MRPS35	MRPL33	0.0	0.145	0.92	0.9256263856706837
MRPS35	MRPL40	0.0	0.533	0.943	0.9710562684235077
MRPS35	MRPL53	0.0	0.087	0.829	0.8302422252933354
MRPS35	MRPL24	0.0	0.207	0.829	0.8525543095921303
MRPS35	MRPL44	0.0	0.354	0.943	0.9599622042860513
MRPS35	MRPS15	0.0	0.298	0.978	0.9832072207645912
MRPS35	LRPPRC	0.0	0.193	0.816	0.8385440168928138
MRPS35	MRPS18C	0.0	0.201	0.943	0.9504795684590635
MRPS35	MRPS2	0.0	0.347	0.994	0.9957398271792066
MRPS35	MRPL4	0.0	0.312	0.943	0.9573591277845253
MRPS35	MRPL17	0.0	0.495	0.949	0.9719957246045096
MRPS35	MRPS7	0.0	0.261	0.982	0.9855362892133251
MRPS35	MRPL35	0.0	0.163	0.829	0.8443732120159054
MRPS35	MRPL14	0.0	0.207	0.829	0.8525543095921303
MRPS35	MRPL49	0.0	0.26	0.943	0.9541362711635882
MRPS35	MRPS5	0.0	0.54	0.993	0.9964987859920994
MRPS35	MRPS30	0.0	0.189	0.829	0.849207496947311
MRPS35	MRPL57	0.0	0.161	0.8	0.8175454315137531
MRPS35	MRPL30	0.0	0.152	0.825	0.8386397022445826
MRPS35	MRPL13	0.0	0.559	0.943	0.9726676967339762
MRPS35	MRPL37	0.0	0.127	0.8	0.8101515634225346
MRPS35	MRPL41	0.0	0.512	0.92	0.9575504984880627
KCNQ1	CALM2	0.0	0.0	0.947	0.942371322230208
KCNQ1	CALM1	0.0	0.0	0.918	0.9108386494882464
KCNQ1	CALM3	0.0	0.0	0.947	0.942371322230208
TRIB2	TRIB1	0.0	0.0	0.823	0.8075419629197514
TRIB2	UBE2E1	0.0	0.061	0.824	0.8203029093783604
OTUD5	UBB	0.0	0.061	0.876	0.8733952316074813
OTUD5	UBC	0.0	0.061	0.919	0.9172984980661772
OTUD5	UBA52	0.0	0.0	0.909	0.9010526476028101
GPKOW	MFAP1	0.0	0.874	0.0	0.8629959736038909
AQR	TCERG1	0.0	0.141	0.8	0.8131960973424481
AQR	PPIE	0.0	0.072	0.971	0.9707376796954595
AQR	PRPF8	0.0	0.278	0.966	0.9733081361907009
AQR	PRPF19	0.0	0.192	0.985	0.9868215174609457
AQR	RBM22	0.0	0.1	0.983	0.9833637967947583
AQR	CWC22	0.0	0.141	0.8	0.8131960973424481
AQR	DHX8	0.0	0.102	0.924	0.9257916603691934
AQR	PPIL1	0.0	0.061	0.943	0.9418026467873098
AQR	SYF2	0.0	0.051	0.961	0.9597566982464572
AQR	SNRPD2	0.0	0.073	0.943	0.9425463829306031
AQR	SNRPE	0.0	0.069	0.953	0.9524215461665512
AQR	SNRPD3	0.0	0.071	0.943	0.9424224269067208
AQR	CDC5L	0.0	0.366	0.958	0.9710464824216223
AQR	SNRPB	0.0	0.128	0.938	0.9412143993406409
AQR	CWC15	0.0	0.093	0.922	0.9230755011792132
AQR	BCAS2	0.0	0.062	0.957	0.9561434888836455
AQR	EFTUD2	0.0	0.846	0.958	0.9929671266449996
AQR	CDC40	0.0	0.087	0.958	0.958305107966784
